ID	SEN0_1	SEN0_2	SEN0_3	SEN7_1	SEN7_2	SEN7_3	TON0_1	TON0_2	TON0_3	TON7_1	TON7_2	TON7_3	TON30_1	TON30_2	TON30_3
LOC123760400	1.270797	1.500483	0.730238	2.185302	2.279343	4.360679	0.222709	1.232117	0.686810	1.516681	0.793108	0.121027	0.918872	1.977235	2.826456
LOC123760402	20.649341	59.603391	31.883701	78.104000	135.250605	148.073620	16.341054	60.361566	24.213412	57.695748	28.344775	11.474991	62.828946	94.089004	56.926930
LOC123760403	3.057231	4.540131	3.269192	5.819528	9.068845	8.237389	1.759987	9.119292	6.623126	3.190628	2.055032	1.180154	3.554994	4.601683	2.839686
LOC123760408	0.431070	0.000000	0.168454	1.263649	1.656210	1.353758	0.000000	0.437739	0.0	0.252047	0.599047	0.236885	0.640541	0.912109	0.859115
LOC123760410	894.576163	1337.133123	1660.278940	2062.979256	2350.269899	1881.083025	961.050248	2633.965118	1440.530178	1388.271328	1054.153302	1077.585847	1635.644497	1676.109160	1394.132111
LOC123760412	8.846056	8.700946	5.801134	11.213427	11.928603	11.933751	2.493327	3.830038	6.275109	6.405679	2.902930	3.001313	10.372493	10.375491	8.158578
LOC123760413	0.000000	0.242945	0.0	0.541960	1.706023	3.544705	0.000000	0.124472	0.089127	0.299888	0.736619	0.000000	2.085994	1.713301	0.961826
LOC123760427	0.378110	0.188050	0.635373	1.172869	1.676761	2.524449	0.047600	0.481820	0.324192	0.250317	0.0	0.0	0.293641	0.208740	0.548443
LOC123760461	0.318171	1.320898	0.000000	1.281324	1.735873	5.613037	0.067207	0.0	0.000000	2.589545	0.000000	0.0	3.932686	3.509376	2.673783
LOC123760481	0.365205	0.991457	0.195457	5.817520	7.897638	7.479089	0.068522	0.258759	0.0	2.784337	1.379254	0.794753	7.821566	10.781063	6.727547
LOC123760495	1.562499	0.000000	0.0	0.491390	1.249774	1.819787	0.000000	0.794405	0.0	0.000000	0.000000	0.0	0.0	2.135098	0.820531
LOC123760500	0.189379	1.068296	0.103527	4.859902	9.688711	9.204131	0.000000	0.369475	0.000000	2.641275	0.364355	0.000000	4.261448	6.344015	5.138319
LOC123760536	0.0	1.421323	0.0	0.000000	0.0	1.473183	0.332612	0.0	0.0	5.738814	0.000000	0.0	0.110537	0.933496	0.252691
LOC123760540	1.129968	0.000000	0.0	0.671360	1.556044	1.899305	0.000000	2.059059	0.0	0.401148	2.111679	0.000000	1.707394	1.070461	1.011522
LOC123760541	0.0	0.0	0.0	3.255753	1.427581	4.161390	0.0	0.596468	0.0	1.998979	3.314464	0.404693	0.830316	15.454838	3.055808
LOC123760549	0.0	0.580347	0.766807	7.709898	8.897218	13.429543	0.0	0.0	0.0	1.862585	0.0	0.0	0.000000	0.000000	2.115167
LOC123760550	5.333164	145.339963	2.363191	39.088214	4.442879	19.439346	4.159355	4.431595	2.477903	67.412017	4.414037	2.552454	1.847262	0.0	1.730410
LOC123760569	2.036524	2.782650	1.517555	3.079166	3.706065	3.829770	0.569975	5.747281	1.507367	2.835911	2.946567	0.796007	1.223659	2.459388	1.352974
LOC123760575	0.972160	5.803309	2.560035	5.853775	11.891554	9.578718	0.956254	6.354900	0.0	0.0	1.606315	0.0	2.319430	3.620408	3.334233
LOC123760576	2.076758	13.294505	5.122917	11.332260	13.171893	13.580887	4.317140	6.725996	7.000442	11.880265	8.134574	4.388213	14.945760	17.146993	11.840846
LOC123760578	0.931765	13.755138	0.414320	4.344520	14.196142	16.221070	0.000000	2.004543	0.193740	3.317331	0.783966	0.000000	1.713174	0.247576	1.390843
LOC123760579	6.203305	25.331416	0.000000	5.817127	14.174030	21.309012	0.568259	1.155124	0.000000	5.881149	1.179437	0.000000	1.505437	6.334953	3.107663
LOC123760582	1.574315	2.992332	1.201667	4.910974	9.693009	10.335302	0.497009	2.815430	1.205065	2.713889	0.353842	0.298655	3.601521	2.526764	2.494035
LOC123760584	0.453513	0.566383	0.140179	0.613227	1.235434	1.518218	0.148680	0.424103	0.254436	0.818882	0.225979	0.141914	0.676214	0.876170	0.897743
LOC123760585	33.378840	37.882284	27.864424	58.130497	68.110644	84.262299	20.828056	39.048478	31.467162	52.742412	46.080497	12.369112	66.509436	76.972052	66.224401
LOC123760586	1.366978	2.148856	1.511171	4.659858	4.840664	6.912625	1.054723	0.970580	1.219763	2.483797	0.792725	0.761277	1.360368	6.289557	1.466966
LOC123760588	3.854845	4.640307	3.883857	6.543029	6.817364	7.633784	1.389867	13.921657	3.081676	5.566944	4.112130	2.331557	3.269101	5.280558	5.647234
LOC123760589	1684.870851	2740.458421	2169.262912	3795.204352	5193.246028	3969.703455	1892.179885	3459.759076	2025.054719	2835.521077	1935.056625	1872.444709	3261.629990	3704.703606	3119.324254
LOC123760590	6.563600	7.258692	2.463688	8.557095	7.792919	11.202992	1.983707	5.072450	2.575085	4.264334	3.772699	1.238541	11.603501	14.940800	10.610372
LOC123760591	2.331262	3.513256	7.013517	6.316473	8.915431	6.655664	0.550850	4.288787	5.737485	5.469134	4.089465	1.363825	3.899533	4.698997	7.058974
