Month,Sendai_DaysSnowfall_day,Sendai_AmountSnowfall_cm,Sendai_MinimumTemperature_C,Sendai_MaximumTemperature_C,Sapporo_DaysSnowfall_day,Sapporo_AmountSnowfall_cm,Sapporo_MinimumTemperature_C,Sapporo_MaximumTemperature_C
Apr-85,0,0,0.1,21.5,3,3,-1.7,18.2
May-85,0,0,5.7,26.4,0,0,4.2,29.7
Jun-85,0,0,8.7,28.8,0,0,6.3,28.1
Jul-85,0,0,17.2,35,0,0,12.8,33.3
Aug-85,0,0,20.6,33.6,0,0,18.2,34.7
Sep-85,0,0,11.5,36,0,0,7.3,26.7
Oct-85,0,0,2.6,25.7,0,0,0,22.1
Nov-85,2,3,-2.1,21.3,9,30,-5.3,14.7
Dec-85,3,6,-4.5,15.8,31,183,-13.4,9.4
Jan-86,16,9,-7.1,10.5,31,158,-15.3,7.1
Feb-86,12,31,-7.7,8.2,28,100,-14.4,3
Mar-86,12,18,-5,16.3,31,55,-16.2,7.1
Apr-86,0,0,0.2,19.8,5,0,-2.6,19.1
May-86,0,0,6.7,29.2,0,0,3.9,25.3
Jun-86,0,0,10.6,26.3,0,0,7.2,28.3
Jul-86,0,0,13.8,32.2,0,0,11.2,33.7
Aug-86,0,0,16.8,30.8,0,0,14,32.7
Sep-86,0,0,12.8,32.2,0,0,7.8,29.6
Oct-86,0,0,3.1,24.1,5,14,0.1,22.1
Nov-86,0,0,-1.3,19.5,14,38,-4,15.1
Dec-86,3,7,-3.6,14.7,30,99,-9.3,6.7
Jan-87,15,28,-6.3,12.5,31,173,-13.7,6.7
Feb-87,15,42,-5.8,17.5,28,130,-13.7,7.3
Mar-87,7,4,-5,16.4,31,56,-7.2,10.5
Apr-87,0,0,-1.4,21.6,6,14,-5.3,23.4
May-87,0,0,5.4,26.9,0,0,0.9,25.8
Jun-87,0,0,12.3,33.7,0,0,8.4,29.5
Jul-87,0,0,15.8,35.6,0,0,13.7,30
Aug-87,0,0,17.7,31.4,0,0,15,30.1
Sep-87,0,0,12.1,29.7,0,0,6.8,26.3
Oct-87,0,0,6,24.9,0,0,2.5,26.4
Nov-87,0,0,-1,18.7,6,6,-7.5,14.3
Dec-87,4,6,-3.5,18.5,31,135,-12.2,8.4
